KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/1394ohci.sys,2021-02-13 19:51:39.0618851,2077-10-25 01:43:48.0000000,2018-09-15 05:06:20.0000000,1394ohci.sys,True,True,True,191626,Microsoft Corporation,0000fee1519dabf969ac6338cf5207b7959e6b948cda,,8454170,10.0.17763.1,188416,,Microsoft® Windows® Operating System,10.0.17763.1,1394ohci,
c:/windows/system32/drivers/3ware.sys,2021-02-13 19:51:39.0618851,2015-05-18 22:27:56.0000000,2018-09-15 05:06:20.0000000,3ware.sys,True,True,True,102464,LSI,0000a7feef71f0b50c9f3402d7e6ecd0c168da9de79b,,8454170,5.1.0.51,90112,,LSI 3ware RAID Controller,WindowsBlue,3ware,
c:/windows/system32/drivers/acpi.sys,2021-02-13 19:51:39.0775096,2062-07-01 03:58:26.0000000,2021-02-02 01:44:21.0000000,acpi.sys,True,True,True,598947,Microsoft Corporation,0000a4dee340706640d98726ecbe4b3a1b455e1cba5d,acpi.inf_x86_64c45ab7dc8c7030,8454426,10.0.17763.1728,610304,acpi.inf,Microsoft® Windows® Operating System,10.0.17763.1,acpi,
c:/windows/system32/drivers/acpidev.sys,2021-02-13 19:51:39.0775096,2081-08-28 04:21:59.0000000,2018-09-15 05:06:20.0000000,acpidev.sys,True,True,True,17313,Microsoft Corporation,000043d6636fdca15e27b38015bc31d5e7c9d1771324,,8454170,10.0.17763.1,36864,,Microsoft® Windows® Operating System,10.0.17763.1,acpidev,
c:/windows/system32/drivers/acpiex.sys,2021-02-13 19:51:39.0931350,2002-02-05 11:48:11.0000000,2018-09-15 05:06:25.0000000,acpiex.sys,True,True,True,93443,Microsoft Corporation,0000d33a66fea26805c09a8a79b8bd53171f268a8757,,8454426,10.0.17763.1,98304,,Microsoft® Windows® Operating System,10.0.17763.1,acpiex,1.15
c:/windows/system32/drivers/acpipagr.sys,2021-02-13 19:51:39.0931350,1971-09-24 15:37:32.0000000,2018-09-15 05:06:21.0000000,acpipagr.sys,True,True,True,69342,Microsoft Corporation,0000569f83200ba26ca001f6cc14e8abca63adbcd5eb,,8454170,10.0.17763.1,32768,,Microsoft® Windows® Operating System,10.0.17763.1,acpipagr,
c:/windows/system32/drivers/acpipmi.sys,2021-02-13 19:51:39.1556357,2086-08-19 01:34:12.0000000,2018-09-15 05:06:20.0000000,acpipmi.sys,True,True,True,47872,Microsoft Corporation,000037a26e98cf3c1975840dc6c3fe0406bc3f63c56f,,8454170,10.0.17763.1,36864,,Microsoft® Windows® Operating System,10.0.17763.1,acpipmi,
c:/windows/system32/drivers/acpitime.sys,2021-02-13 19:51:39.1556357,2056-08-29 02:55:31.0000000,2018-09-15 05:06:21.0000000,acpitime.sys,True,True,True,68401,Microsoft Corporation,00001b1b092737b523bf2203082882d4a8e135d13a1d,,8454170,10.0.17763.1,32768,,Microsoft® Windows® Operating System,10.0.17763.1,acpitime,
c:/windows/system32/drivers/adp80xx.sys,2021-02-13 19:51:39.1712598,2015-04-09 20:47:47.0000000,2018-09-15 05:06:21.0000000,adp80xx.sys,True,True,True,1081679,PMC-Sierra,0000dfd9f592bfd3e843fa8180f11e40666183862571,,8454170,1.3.0.10769,2285568,,PMC-Sierra HBA Controller,1.3.0.10769,adp80xx,
c:/windows/system32/drivers/afd.sys,2021-02-13 19:51:39.2181364,2105-10-04 22:28:49.0000000,2021-02-02 01:44:45.0000000,afd.sys,True,True,True,538568,Microsoft Corporation,00001f8cc2b375f80e9912050994730c2746787becf0,,8454170,10.0.17763.1432,520192,,Microsoft® Windows® Operating System,10.0.17763.1,afd,
