Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume1\Windows\SysWOW64\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:41:58.8668512,\Device\HarddiskVolume1\Windows\SysWOW64\cmd.exe
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:49:56.4569652,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Cortana_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:52:24.8203372,Microsoft.Windows.Cortana_cw5n1h2txyewy
\Device\HarddiskVolume1\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:53:04.2575304,\Device\HarddiskVolume1\Windows\System32\cmd.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:49:52.9098193,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-03-19 13:18:55.6142322,Microsoft.WindowsStore_8wekyb3d8bbwe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-03-19 13:18:55.3329655,windows.immersivecontrolpanel_cw5n1h2txyewy
\Device\HarddiskVolume1\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:49:52.3472242,\Device\HarddiskVolume1\Windows\System32\ApplicationFrameHost.exe
\Device\HarddiskVolume1\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:49:46.3313283,\Device\HarddiskVolume1\Windows\explorer.exe
\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDrive.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:50:32.3514348,\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDrive.exe
\Device\HarddiskVolume1\Windows\System32\notepad.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:31:57.0181635,\Device\HarddiskVolume1\Windows\System32\notepad.exe
Microsoft.Windows.SecHealthUI_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:46:01.0208229,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy
InputApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:51:07.5079436,InputApp_cw5n1h2txyewy
\Device\HarddiskVolume1\Users\IEUser\Desktop\creepy\LPT1.txt:putty.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:39:17.1634427,\Device\HarddiskVolume1\Users\IEUser\Desktop\creepy\LPT1.txt:putty.exe
\Device\HarddiskVolume1\Windows\SysWOW64\notepad.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:40:43.7729220,\Device\HarddiskVolume1\Windows\SysWOW64\notepad.exe
\Device\HarddiskVolume1\Users\IEUser\Desktop\creepy\welcome.txt:putty.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:41:41.1476598,\Device\HarddiskVolume1\Users\IEUser\Desktop\creepy\welcome.txt:putty.exe
\Device\HarddiskVolume1\Windows\System32\Taskmgr.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:45:32.4112781,\Device\HarddiskVolume1\Windows\System32\Taskmgr.exe
\Device\HarddiskVolume1\Windows\System32\PickerHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1000,2019-05-26 08:43:09.8201434,\Device\HarddiskVolume1\Windows\System32\PickerHost.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-321011808-3761883066-353627080-1001,2019-03-19 13:00:04.5530838,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
\Device\HarddiskVolume1\Windows\System32\dwm.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-90-0-1,2019-05-26 08:49:46.3313283,\Device\HarddiskVolume1\Windows\System32\dwm.exe
