URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Visit Duration,Web Browser,User Profile,Browser Profile,URL Length,Typed Count,History File,Record ID
about:blank,,3/27/2018 09:35:12,8,,,,Internet Explorer 10/11 / Edge,jcloudy,,11,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,8
file:///C:/Users/jcloudy/Desktop,,4/5/2018 02:24:19,1,,,,Internet Explorer 10/11 / Edge,jcloudy,,32,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,34
file:///C:/Users/jcloudy/Desktop/AIRPORT%20INFORMATION.docx,,4/4/2018 05:11:46,12,,,,Internet Explorer 10/11 / Edge,jcloudy,,59,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,17
file:///C:/Users/jcloudy/Desktop/AMEN.pdf,,4/6/2018 03:55:00,1,,,,Internet Explorer 10/11 / Edge,jcloudy,,41,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,38
file:///C:/Users/jcloudy/Desktop/BladeofGrass.jpg,,3/31/2018 04:15:53,1,,,,Internet Explorer 10/11 / Edge,jcloudy,,49,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,25
file:///C:/Users/jcloudy/Desktop/Cloudy%20thoughts%20(4apr).docx,,4/5/2018 02:41:01,2,,,,Internet Explorer 10/11 / Edge,jcloudy,,64,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,35
file:///C:/Users/jcloudy/Desktop/CubaDearmed.jpg_large,,3/30/2018 21:22:55,1,,,,Internet Explorer 10/11 / Edge,jcloudy,,54,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,24
"file:///C:/Users/jcloudy/Desktop/Cubs'%20Anthony%20Rizzo%20Praises%20Parkland%20Kids,%20Says%20'It's%20too%20Easy%20to%20Get%20a%20Gun'.html",,3/30/2018 04:32:26,1,,,,Internet Explorer 10/11 / Edge,jcloudy,,140,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,23
file:///C:/Users/jcloudy/Desktop/DarkWolf.png,,3/30/2018 03:33:50,1,,,,Internet Explorer 10/11 / Edge,jcloudy,,45,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,21
file:///C:/Users/jcloudy/Desktop/DeathToll.jpg,,4/2/2018 01:10:19,2,,,,Internet Explorer 10/11 / Edge,jcloudy,,46,,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,26
