Id,Timestamp,UserId,AppId,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,StartTime,EndTime,Flags,Duration
31,2020-08-01 22:38:00,314,128,C104,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:17:00,2020-08-01 22:18:00,0,00:01:00.0091384
32,2020-08-01 22:38:00,314,129,U,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:17:00,2020-08-01 22:28:00,0,00:11:00.0058538
33,2020-08-01 22:38:00,314,130,C101,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:17:00,2020-08-01 22:38:00,0,00:21:00.0105580
34,2020-08-01 22:38:00,314,131,C125,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:17:00,2020-08-01 22:18:00,0,00:01:00.0091384
35,2020-08-01 22:38:00,314,132,C127,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:17:00,2020-08-01 22:18:00,0,00:01:00.0091384
36,2020-08-01 23:47:00,314,129,U,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:57:00,2020-08-01 23:40:00,0,00:43:00.0009566
37,2020-08-01 23:47:00,314,130,C101,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:57:00,2020-08-01 23:40:00,0,00:43:00.0009566
38,2020-08-01 23:47:00,314,131,C125,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:57:00,2020-08-01 22:58:00,0,00:01:00.0000015
39,2020-08-01 23:47:00,314,132,C127,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 22:57:00,2020-08-01 22:58:00,0,00:01:00.0000015
40,2020-08-02 00:48:00,314,130,C101,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 23:51:00,2020-08-01 23:52:00,0,00:01:00.0000005
41,2020-08-02 00:48:00,314,129,U,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-01 23:51:00,2020-08-01 23:52:00,0,00:01:00.0000005
42,2020-08-04 17:41:00,314,129,U,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-02 17:17:00,2020-08-02 17:34:00,0,00:16:59.9964718
43,2020-08-07 18:45:00,314,128,C104,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-07 18:29:00,2020-08-07 18:32:00,0,00:02:59.9951202
44,2020-08-07 18:45:00,314,335,C117,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-07 17:48:00,2020-08-07 18:20:00,0,00:31:59.9905918
45,2020-08-07 18:45:00,314,336,C103,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-07 17:48:00,2020-08-07 18:32:00,0,00:43:59.9871778
46,2020-08-07 18:45:00,314,337,C123,,,UnknownOrUserSid,S-1-5-21-3064058907-2826536974-2889819764-1106,anit.ghosh,2020-08-07 17:48:00,2020-08-07 18:20:00,0,00:31:59.9905918
