CreationUTC,ExpiresUTC,LastAccessUTC,HostKey,Name,Path,IsSecure,IsHttpOnly,HasExpiration,IsPersistent,Priority,SourcePort,SourceFile
2020-08-09 19:02:13,2021-08-09 19:02:13,2021-02-13 21:34:39,.google.com,OGPC,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:01,2022-12-23 19:59:22,2020-08-09 19:06:04,.cnn.com,FastAB,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:01,2021-08-09 19:04:12,2020-08-09 19:06:13,.cnn.com,psmRetryExternalIds,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:01,2021-08-09 19:04:12,2020-08-09 19:06:13,.cnn.com,psmMetaData,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:01,2021-02-05 18:04:17,2020-08-09 19:06:17,.cnn.com,optimizelyEndUserId,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:02,2021-08-09 19:04:13,2020-08-09 19:06:13,edition.cnn.com,ntv_as_us_privacy,/,Yes,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-08-09 19:04:13,2020-08-09 19:04:13,.postrelease.com,visitor,/,Yes,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-08-09 19:04:13,2020-08-09 19:04:13,.postrelease.com,status,/,Yes,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-08-09 19:04:25,2020-08-09 19:05:26,.cnn.com,ajs_anonymous_id,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-09-08 19:03:03,2020-08-09 19:06:04,edition.cnn.com,_cb_ls,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-08-09 19:03:03,2020-08-09 19:06:04,.cnn.com,btIdentify,/,No,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-03-07 13:13:07,2020-09-08 14:13:07,.demdex.net,demdex,/,Yes,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
2020-08-09 19:03:03,2021-09-03 19:03:03,2020-08-09 19:04:14,.imrworldwide.com,SSCVER,/,Yes,No,Yes,Yes,1,443,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Cookies
