ActivityId,Platform,PackageName,ExpirationTime,SourceFile
FA1C8522-94B1-95BA-4F3D-996D52081C85,windows_win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,2019-03-17 00:54:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
FA1C8522-94B1-95BA-4F3D-996D52081C85,host,,2019-03-17 00:54:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
910631B8-9A8D-7B3A-E75A-BFFFF7D97983,windows_win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,2019-03-17 00:54:42,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
910631B8-9A8D-7B3A-E75A-BFFFF7D97983,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,2019-03-17 00:54:42,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
910631B8-9A8D-7B3A-E75A-BFFFF7D97983,host,,2019-03-17 00:54:42,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
E865ABEA-E740-55BA-BA61-A82CD7E08BD7,x_exe_path,{6d809377-6af0-444b-8957-a3773f02200e}\vmware\vmware tools\vmtoolsd.exe,2019-03-17 00:54:50,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
E865ABEA-E740-55BA-BA61-A82CD7E08BD7,host,,2019-03-17 00:54:50,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
25C651F5-D1F2-A555-ED36-FA3DC9CE43CD,x_exe_path,{6d809377-6af0-444b-8957-a3773f02200e}\vmware\vmware tools\vmtoolsd.exe,2019-03-17 00:54:52,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
25C651F5-D1F2-A555-ED36-FA3DC9CE43CD,packageid,{6d809377-6af0-444b-8957-a3773f02200e}\vmware\vmware tools\vmtoolsd.exe,2019-03-17 00:54:52,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
25C651F5-D1F2-A555-ED36-FA3DC9CE43CD,host,,2019-03-17 00:54:52,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
