2022-02-19 22:33:55.2055 | D | Enabled debug messages...
2022-02-19 22:33:55.2211 | I | KAPE version 1.1.0.1 Author: Eric Zimmerman (kape@kroll.com)
2022-02-19 22:33:55.2211 | I | KAPE directory: C:\Users\CFUser\OneDrive - Kroll\Desktop\KAPE
2022-02-19 22:33:55.2211 | I | Command line: --msource C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F --mdest C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\mout --module NirSoft_BrowsingHistoryView,!EZParser --mef csv --debug --gui 
2022-02-19 22:33:55.2211 | I | System info: Machine name: CFL-ARATHBUNNOV, 64-bit: True, User: CFUser OS: Windows10 (10.0.19044)
2022-02-19 22:33:55.3309 | D | Validating configuration files
2022-02-19 22:33:55.6902 | D | 256 targets and 242 modules validated successfully
2022-02-19 22:33:55.7057 | I | Using Module operations
2022-02-19 22:33:55.7057 | W | 	Creating module destination directory 'C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\mout'
2022-02-19 22:33:55.7212 | I | 	Module 'NirSoft_BrowsingHistoryView': Found 2 processors
2022-02-19 22:33:55.7212 | D | 	NirSoft_BrowsingHistoryView: Determining correct processor based export type 'csv'...
2022-02-19 22:33:55.7212 | I | 		Found processor 'Executable: browsinghistoryview.exe, Cmd line: /HistorySource 3 /HistorySourceFolder %sourceDirectory%\Users /VisitTimeFilterType 1 /ShowTimeInGMT 1 /scomma %destinationDirectory%\BrowsingHistory.csv, Export: csv, Append: False'!
2022-02-19 22:33:55.7212 | I | 	Module '!EZParser': Found 15 processors
2022-02-19 22:33:55.7212 | I | 	Module 'AmcacheParser': Found 1 processor
2022-02-19 22:33:55.7212 | D | 	AmcacheParser: Determining correct processor based export type 'csv'...
2022-02-19 22:33:55.7212 | I | 		Found processor 'Executable: AmcacheParser.exe, Cmd line: -f %sourceFile% --csv %destinationDirectory% -i --mp, Export: csv, Append: False'!
2022-02-19 22:33:55.7212 | I | 	Module 'AppCompatCacheParser': Found 1 processor
2022-02-19 22:33:55.7212 | D | 	AppCompatCacheParser: Determining correct processor based export type 'csv'...
