Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,NetworkType,NotificationType,PayloadSize
16,2016-06-20 23:50:00,microsoft.bingfoodanddrink_3.0.2.229_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,135,0,1,838
17,2016-06-20 23:50:00,microsoft.bingsports_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,132,0,1,925
18,2016-06-20 23:50:00,microsoft.binghealthandfitness_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,133,0,1,958
19,2016-06-20 23:50:00,microsoft.bingfinance_3.0.2.234_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,134,0,1,1222
20,2016-06-20 23:50:00,microsoft.bingnews_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,131,0,1,1009
21,2016-06-21 01:55:00,microsoft.binghealthandfitness_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,133,0,1,2874
22,2016-06-21 01:55:00,microsoft.bingfinance_3.0.2.234_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,134,0,1,3613
23,2016-06-21 01:55:00,microsoft.bingnews_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,131,0,1,3099
24,2016-06-21 01:55:00,microsoft.bingfoodanddrink_3.0.2.229_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,135,0,1,2514
25,2016-06-21 01:55:00,microsoft.bingsports_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,132,0,1,2919
26,2016-06-21 01:55:00,microsoft.bingsports_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,132,0,128,12116
27,2016-06-21 01:55:00,microsoft.bingnews_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,131,0,128,9681
1,2016-06-21 08:40:00,microsoft.bingnews_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,131,0,1,1012
2,2016-06-21 08:40:00,microsoft.bingsports_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,132,0,1,925
3,2016-06-21 08:40:00,microsoft.binghealthandfitness_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,133,0,1,937
4,2016-06-21 08:40:00,microsoft.bingfinance_3.0.2.234_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,134,0,1,1222
5,2016-06-21 08:40:00,microsoft.bingfoodanddrink_3.0.2.229_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,135,0,1,838
6,2016-06-21 08:40:00,microsoft.bingsports_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,132,0,128,15929
7,2016-06-21 08:40:00,microsoft.binghealthandfitness_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,133,0,128,5929
8,2016-06-21 08:40:00,microsoft.bingnews_3.0.2.233_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2489440558-2754304563-710705792-1001,Hunter,115,131,0,128,10421
