URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Web Browser,User Profile,Browser Profile,URL Length,Typed Count,History File,Record ID
file:///C:/Users/Hunter/Documents/DEFCON-22-Zoltan-Balazs-Bypass-firewalls-application-whitelists-in-20-seconds-UPDATED.pdf,,6/20/2016 23:59:01,2,,Link,Chrome,Hunter,Default,123,0,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,223
file:///C:/Users/Hunter/Documents/DEFCON-22-Zoltan-Balazs-Bypass-firewalls-application-whitelists-in-20-seconds-UPDATED.pdf,,6/20/2016 23:58:13,2,,Link,Chrome,Hunter,Default,123,0,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,214
file:///C:/Users/Hunter/Documents/home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg,,6/21/2016 12:19:31,2,,,Internet Explorer 10/11 / Edge,Hunter,,121,,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,104
file:///C:/Users/Hunter/Documents/Welcome.docx,,6/21/2016 12:27:37,1,,,Internet Explorer 10/11 / Edge,Hunter,,46,,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,105
file:///C:/Users/Hunter/Pictures/Exfil/dns-exfiltration-using-sqlmap-18-728.jpg,,6/21/2016 12:17:39,1,,,Internet Explorer 10/11 / Edge,Hunter,,79,,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,102
file:///C:/Users/Hunter/Pictures/Exfil/Exfiltration_Diagram.png,,6/21/2016 12:17:42,1,,,Internet Explorer 10/11 / Edge,Hunter,,63,,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat,103
http://3.bp.blogspot.com/-KlzqadwGkLs/ULGbon0D7AI/AAAAAAAABLw/GYGCpx_qTyY/s1600/Hackers+Got+real+Brain.png,Hackers+Got+real+Brain.png (1600×1000),6/21/2016 09:46:21,1,,Link,Chrome,Hunter,Default,106,0,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,189
http://3.bp.blogspot.com/-XX8VRzL9wS0/Uo4IibE1c9I/AAAAAAAAAlY/-f-H7KLLAbI/s1600/Computer+is+ON.png,Computer+is+ON.png (1600×900),6/21/2016 09:44:06,1,"https://www.google.jo/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwiY-8y95LfNAhUFchQKHYlyBS4QjBwIBA&url=http%3A%2F%2F3.bp.blogspot.com%2F-XX8VRzL9wS0%2FUo4IibE1c9I%2FAAAAAAAAAlY%2F-f-H7KLLAbI%2Fs1600%2FComputer%2Bis%2BON.png&bvm=bv.124817099,d.d24&psig=AFQjCNFEVZBTDqKQMLfFuv-B4e71q5oyMQ&ust=1466552641516287",Link,Chrome,Hunter,Default,98,0,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,153
http://7-themes.com/6966997-sleeping-kitties.html,Sleeping kitties #6966997,6/21/2016 09:30:39,1,http://7-themes.com/data_images/out/57/6966997-sleeping-kitties.jpg,Link,Chrome,Hunter,Default,49,0,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,81
http://7-themes.com/data_images/out/57/6966997-sleeping-kitties.jpg,Sleeping kitties #6966997,6/21/2016 09:30:39,1,,Link,Chrome,Hunter,Default,67,0,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,80
http://7zip.org/,7-Zip,6/21/2016 09:16:32,1,,Typed URL,Chrome,Hunter,Default,16,1,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Local\Google\Chrome\User Data\Default\History,34
