BatchKeyPath,BatchValueName,Extension,ValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,11,RecentDocs,11,Downloads,Downloads.lnk,0,2018-04-06 12:27:08.0399072,2018-04-06 12:27:08.0399072
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,37,RecentDocs,37,rootkey.csv,rootkey.lnk,1,,2018-04-06 12:27:08.0208999
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,36,RecentDocs,36,Hardware and Sound,Hardware and Sound.lnk,2,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,35,RecentDocs,35,::{025A5937-A6BE-4686-A844-36FE4BEC8B6D},Power Options.lnk,3,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,RecentDocs,10,DemGun.jpg,DemGun.lnk,4,,2018-04-06 08:29:08.3310755
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,34,RecentDocs,34,LeftUsesBoycotts.pdf,LeftUsesBoycotts.lnk,5,,2018-04-06 03:56:32.0849141
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,33,RecentDocs,33,AMEN.pdf,AMEN.lnk,6,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,12,RecentDocs,12,Planning.docx,Planning.lnk,7,,2018-04-05 08:32:48.7241505
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,32,RecentDocs,32,UKknifeBan.pdf,UKknifeBan.lnk,8,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,31,RecentDocs,31,SelfDefenseisMurder.pdf,SelfDefenseisMurder.lnk,9,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,30,RecentDocs,30,Cloudy thoughts (4apr).docx,Cloudy thoughts (4apr).lnk,10,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,29,RecentDocs,29,Desktop,Desktop.lnk,11,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,RecentDocs,7,OneDrive,OneDrive.lnk,12,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,28,RecentDocs,28,Operation 2nd Hand Smoke.pptx,Operation 2nd Hand Smoke.lnk,13,,2018-04-04 05:31:23.8557662
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,13,RecentDocs,13,AIRPORT INFORMATION.docx,AIRPORT INFORMATION.lnk,14,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,27,RecentDocs,27,The Cloudy Manifesto.docx,The Cloudy Manifesto.lnk,15,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,16,RecentDocs,16,Sheep.jpg,Sheep.lnk,16,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,26,RecentDocs,26,HoldMyTidePod.jpg,HoldMyTidePod.lnk,17,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,22,RecentDocs,22,DeathToll.jpg,DeathToll.lnk,18,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,25,RecentDocs,25,Huckleberry.png,Huckleberry.lnk,19,,2018-03-31 04:23:25.3006980
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,24,RecentDocs,24,DemLogic.jpg,DemLogic.lnk,20,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,23,RecentDocs,23,RedGuns.jpg,RedGuns.lnk,21,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,21,RecentDocs,21,BladeofGrass.jpg,BladeofGrass.lnk,22,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,20,RecentDocs,20,CubaDearmed.jpg_large,CubaDearmed.jpg_large.lnk,23,,2018-03-30 21:22:55.9720790
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,19,RecentDocs,19,"Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html","Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.lnk",24,,2018-03-30 04:32:26.0088129
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,18,RecentDocs,18,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.lnk,25,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,17,RecentDocs,17,DarkWolf.png,DarkWolf.lnk,26,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,15,RecentDocs,15,MyTiredHead.jpg,MyTiredHead.lnk,27,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,14,RecentDocs,14,HoldMyTidePod.jpg_large,HoldMyTidePod.jpg_large.lnk,28,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,RecentDocs,3,The Internet,The Internet.lnk,29,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,9,RecentDocs,9,defaultapps,ms-settingsdefaultapps.lnk,30,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,8,RecentDocs,8,pdp?ProductId=9WZDNCRFJ1P3&ocid=QF,ms-windows-storepdpProductId=9WZDNCRFJ1P3&ocid=QF.lnk,31,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,6,RecentDocs,6,Getting started with OneDrive.pdf,Getting started with OneDrive.lnk,32,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,RecentDocs,5,System and Security,System and Security.lnk,33,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,RecentDocs,4,::{BB06C0E4-D293-4F75-8A90-CB05B6477EEE},System.lnk,34,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,RecentDocs,2,windowsupdate,ms-settingswindowsupdate.lnk,35,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,RecentDocs,1,CloudLog (D:),CloudLog (D).lnk,36,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,RecentDocs,0,::{025A5937-A6BE-4686-A844-36FE4BEC8B6D},Power Options.lnk,37,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,4,Folder,4,Downloads,Downloads.lnk,0,2018-04-06 12:27:08.0399072,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,5,Folder,5,Hardware and Sound,Hardware and Sound.lnk,1,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,Folder,1,The Internet,The Internet.lnk,2,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,3,Folder,3,OneDrive,OneDrive.lnk,3,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,2,Folder,2,System and Security,System and Security.lnk,4,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,Folder,0,CloudLog (D:),CloudLog (D).lnk,5,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,.txt,0,key.txt,key.lnk,0,2018-03-27 09:23:14.9721256,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pptx,0,.pptx,0,Operation 2nd Hand Smoke.pptx,Operation 2nd Hand Smoke.lnk,0,2018-04-04 05:31:23.8557662,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,1,.png,1,Huckleberry.png,Huckleberry.lnk,0,2018-03-31 04:23:25.3006980,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,.png,0,DarkWolf.png,DarkWolf.lnk,1,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,4,.pdf,4,LeftUsesBoycotts.pdf,LeftUsesBoycotts.lnk,0,2018-04-06 03:56:32.0849141,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,3,.pdf,3,AMEN.pdf,AMEN.lnk,1,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,2,.pdf,2,UKknifeBan.pdf,UKknifeBan.lnk,2,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,1,.pdf,1,SelfDefenseisMurder.pdf,SelfDefenseisMurder.lnk,3,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,0,.pdf,0,Getting started with OneDrive.pdf,Getting started with OneDrive.lnk,4,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg_large,1,.jpg_large,1,CubaDearmed.jpg_large,CubaDearmed.jpg_large.lnk,0,2018-03-30 21:22:55.9720790,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg_large,0,.jpg_large,0,HoldMyTidePod.jpg_large,HoldMyTidePod.jpg_large.lnk,1,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,.jpg,0,DemGun.jpg,DemGun.lnk,0,2018-04-06 08:29:08.3310755,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,2,.jpg,2,Sheep.jpg,Sheep.lnk,1,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,7,.jpg,7,HoldMyTidePod.jpg,HoldMyTidePod.lnk,2,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,4,.jpg,4,DeathToll.jpg,DeathToll.lnk,3,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,6,.jpg,6,DemLogic.jpg,DemLogic.lnk,4,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,5,.jpg,5,RedGuns.jpg,RedGuns.lnk,5,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,3,.jpg,3,BladeofGrass.jpg,BladeofGrass.lnk,6,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,.jpg,1,MyTiredHead.jpg,MyTiredHead.lnk,7,,
