Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2017-09-29 14:41:52.4664008,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2017-09-29 14:41:52.4664008,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2018-03-27 09:45:17.2780274,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\O365ProPlusRetail - en-us,O365ProPlusRetail - en-us,Multiple,Microsoft Office 365 ProPlus - en-us,16.0.8431.2236,Microsoft Corporation,,,C:\Program Files (x86)\Microsoft Office,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=O365ProPlusRetail.16_en-us_x-none culture=en-us version.16=16.0"
