KeyName,KeyLastWriteTimestamp,Categories,DiscoveryMethod,FriendlyName,Icon,IsActive,IsConnected,IsMachineContainer,IsNetworked,IsPaired,Manufacturer,ModelId,ModelName,ModelNumber,PrimaryCategory,State
{1dad4268-5b25-0ead-14fb-3a61b3978b82},2020-09-19 01:31:22.3709339,component.hub.usb,,,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{58908b22-f023-8676-533c-aca40090aea5},USB Root Hub (USB 3.0),,unknown,9
{27db0821-3bf9-f71a-f96f-a53403857690},2020-09-19 01:31:23.6349790,computer,,DESKTOP-SDN1RPT,"C:\Windows\System32\DDORes.dll,-2061",True,True,True,False,False,"VMware, Inc.",,"VMware7,1",,computer,25
{33f74aa6-3200-a595-2468-4bd61579632d},2020-09-19 01:31:24.3683769,display.monitor,,,"C:\Windows\System32\DDORes.dll,-2102",True,True,False,False,False,,{00b0927b-ab73-c599-59d5-8b32708d77c3},Generic Non-PnP Monitor,,display.monitor,9
{6e6c2e2f-33a6-9d36-1acd-33707a987196},2020-09-19 01:31:24.8995231,printfax.printer.file,,Microsoft XPS Document Writer,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{63e262cd-de1a-0741-2baa-25f72900a032},Microsoft XPS Document Writer v4,,printfax.printer.file,9
{8443577d-bd0e-259d-05c9-5ddcd8615dd7},2020-09-19 01:31:24.3372020,audio,,Microphone (High Definition Audio Device),"%windir%\system32\mmres.dll,-3014",True,True,False,False,False,,{1138e203-2a0b-97f3-d069-801d9c083aa7},Microphone (High Definition Audio Device),,audio,9
{8e252b5d-f193-9a14-5689-e78dba30f1fa},2020-09-19 01:31:25.1176744,network,,Intel(R) 82574L Gigabit Network Connection,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{2c4781fb-6d80-dfd4-4cb9-b932b5d58162},Ethernet Controller,,unknown,9
{929bd3d6-1cee-7b1e-ac74-0a2ca0762e98},2020-09-19 01:31:25.0399812,input.mouse,,,"C:\Windows\System32\DDORes.dll,-2212",True,True,False,False,False,,{dedd0e58-16f4-6db6-edcf-b86a481370f5},VMware Virtual USB Mouse,,input.mouse,9
{a7be0161-e047-5ca8-de0f-3b7c561dd843},2020-09-19 01:31:25.1176744,printfax.printer.virtual,,OneNote,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{b29d9289-6cd5-fa63-e747-7cdbe402ad72},Microsoft Software Printer Driver,,printfax.printer.virtual,9
{c289bdbd-97c7-ca4d-cde0-84d3a9c41a99},2020-09-19 01:31:23.8542134,audio,,Speakers (High Definition Audio Device),"%windir%\system32\mmres.dll,-3010",True,True,False,False,False,,{1138e203-2a0b-97f3-d069-801d9c083aa7},Speakers (High Definition Audio Device),,audio,9
{d1cae314-4244-3cdd-3ef5-2d5d278d7853},2020-09-19 01:31:24.3372020,printfax.printer.virtual,,OneNote,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{b29d9289-6cd5-fa63-e747-7cdbe402ad72},Microsoft Software Printer Driver,,printfax.printer.virtual,9
{d4489f4b-ad59-0072-b4ad-7d0e614cd204},2020-09-19 01:31:24.4934017,unknown,,,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{85a03742-c961-ca85-7eac-31eb86fa91b9},PCI Device,,unknown,9
{d5a9f3b7-b64c-168e-1ec6-461a388dc585},2020-09-19 01:31:25.1176744,storage,,VMware Virtual NVMe Disk,"C:\Windows\System32\DDORes.dll,-2511",True,True,False,False,False,,{120cc429-d9c2-6b00-0bfa-acf46f1b1c1c},VMware Virtual NVMe Disk,,storage,9
{f7522009-9b95-3d39-82b1-850eeec071d9},2020-09-19 01:31:25.1176744,printfax.fax,,Fax,"C:\Windows\System32\DDORes.dll,-2412",True,True,False,False,False,,{2c0386d2-3111-0865-fad8-3d6a56fa1f49},Microsoft Shared Fax Driver,,printfax.fax,9
{f90220f9-4f8a-608d-278b-198c3c4938ad},2020-09-19 01:31:22.4336764,printfax.printer.file,,Microsoft Print to PDF,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{85345646-6c16-4d25-1877-240718614f8d},Microsoft Print To PDF,,printfax.printer.file,9
{fdded589-5443-9034-5b6e-e53108c1abf2},2020-09-19 01:31:23.7445829,printfax.printer.virtual,,OneNote,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{b29d9289-6cd5-fa63-e747-7cdbe402ad72},Microsoft Software Printer Driver,,printfax.printer.virtual,9
{ff7db596-dcc7-9cda-8bd7-0382a04c2024},2020-09-19 01:31:25.1644940,display.monitor,,,"C:\Windows\System32\DDORes.dll,-2102",True,False,False,False,False,,{00b0927b-ab73-c599-59d5-8b32708d77c3},Generic Non-PnP Monitor,,display.monitor,8
