timestamp,detections,path,count,Event.System.Provider,Event ID,Record ID,Computer,Event Data
2018-03-27T09:17:17.220420+00:00,Rare Service Installations,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,1,,,,,
2018-03-27T09:17:25.220702+00:00,Rare Service Installations,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,1,,,,,
2018-03-27T09:17:25.236328+00:00,Rare Service Installations,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,1,,,,,
2018-03-27T09:18:58.257194+00:00,A Member Was Added to a Security-Enabled Global Group,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4728,437,WIN-1M3263ACE5D,"SubjectUserName: WIN-1M3263ACE5D$
PrivilegeList: '-'
MemberName: '-'
MemberSid: S-1-5-21-2734969515-1644526556-1039763013-1001
TargetSid: S-1-5-21-2734969515-1644526556-1039763013-513
TargetUserName: None
SubjectLogonId: '0x3e7'
SubjectDomainName: WORKGROUP
TargetDomainName: DESKTOP-PM6C56D
SubjectUserSid: S-1-5-18
"
2018-03-27T09:18:58.257533+00:00,Local User Creation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4720,438,WIN-1M3263ACE5D,"AccountExpires: '%%1794'
PrimaryGroupId: '513'
UserPrincipalName: '-'
HomeDirectory: '%%1793'
UserParameters: '%%1793'
SubjectDomainName: WORKGROUP
ProfilePath: '%%1793'
HomePath: '%%1793'
OldUacValue: '0x0'
TargetSid: S-1-5-21-2734969515-1644526556-1039763013-1001
SubjectUserSid: S-1-5-18
SubjectUserName: WIN-1M3263ACE5D$
PrivilegeList: '-'
ScriptPath: '%%1793'
NewUacValue: '0x15'
UserAccountControl: ""\r\n\t\t%%2080\r\n\t\t%%2082\r\n\t\t%%2084""
PasswordLastSet: '%%1794'
TargetUserName: jcloudy
SidHistory: '-'
LogonHours: '%%1797'
SubjectLogonId: '0x3e7'
AllowedToDelegateTo: '-'
DisplayName: '%%1793'
TargetDomainName: DESKTOP-PM6C56D
UserWorkstations: '%%1793'
SamAccountName: jcloudy
"
2018-03-27T09:19:58.199071+00:00,User Logoff Event,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4634,468,WIN-1M3263ACE5D,"TargetUserSid: S-1-5-21-2734969515-1644526556-1039763013-1001
LogonType: 2
TargetDomainName: DESKTOP-PM6C56D
TargetLogonId: '0x16bebd'
TargetUserName: jcloudy
"
2018-03-27T09:19:58.199135+00:00,User Logoff Event,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4634,469,WIN-1M3263ACE5D,"TargetUserSid: S-1-5-21-2734969515-1644526556-1039763013-1001
LogonType: 2
TargetDomainName: DESKTOP-PM6C56D
TargetLogonId: '0x16be9f'
TargetUserName: jcloudy
"
2018-03-27T09:19:58.203480+00:00,User Logoff Event,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4647,470,WIN-1M3263ACE5D,"TargetUserSid: S-1-5-21-2734969515-1644526556-1039763013-1000
TargetDomainName: DESKTOP-PM6C56D
TargetLogonId: '0x38c1b'
TargetUserName: defaultuser0
"
2018-03-27T09:19:58.536258+00:00,User Logoff Event,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4634,471,WIN-1M3263ACE5D,"TargetUserSid: S-1-5-90-0-1
LogonType: 2
TargetDomainName: Window Manager
TargetLogonId: '0xb91a'
TargetUserName: DWM-1
"
2018-03-27T09:19:58.536310+00:00,User Logoff Event,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\Security.evtx,1,Microsoft-Windows-Security-Auditing,4634,472,WIN-1M3263ACE5D,"TargetUserSid: S-1-5-90-0-1
LogonType: 2
TargetDomainName: Window Manager
TargetLogonId: '0xb908'
TargetUserName: DWM-1
"
